Measurement E8M1
Title: E89-038 CLAS experiment
Spokespersons: V. Burkert, R. Minehart
Year: 1999
Q^2 range: 0.25 - 0.35
W range: 1.1 - 1.12
Epsilon is not available
Data:
Beam energy	theta_pi	phi_pi	dsigma/dOmega	Data errors
GeV	deg	deg	mcbn/sterad	mcbn/sterad
1.515	82.5	315	16.78	2.279
1.515	97.5	15	9.842	1.14
1.515	97.5	45	17.36	0.8643
1.515	97.5	75	24.18	1.19
1.515	97.5	105	24.76	0.7439
1.515	97.5	135	18.51	0.9731
1.515	97.5	165	12.67	0.6219
1.515	97.5	195	11.68	0.6002
1.515	97.5	225	18.54	1.077
1.515	97.5	255	23.94	0.7007
1.515	97.5	285	23.64	1.076
1.515	97.5	315	15.52	0.676
1.515	97.5	345	11.03	1.051
1.515	112.5	15	8.501	0.7105
1.515	112.5	45	16.65	0.6355
1.515	112.5	75	20.19	1.088
1.515	112.5	105	22.51	0.754
1.515	112.5	135	17.3	0.96
1.515	112.5	165	11.51	0.9715
1.515	112.5	195	9.733	0.8052
1.515	112.5	225	17.16	0.9707
1.515	112.5	255	22.14	0.6953
1.515	112.5	285	22.17	1.26
1.515	112.5	315	16.61	0.7041
1.515	112.5	345	9.387	0.6594
1.515	127.5	15	11.38	0.9261
1.515	127.5	45	15.6	0.7123
1.515	127.5	75	19.02	1.05
1.515	127.5	105	17.79	0.9621
1.515	127.5	135	13.92	1.674
1.515	127.5	225	16.4	1.29
1.515	127.5	255	20.67	1.637
1.515	127.5	285	20.21	1.173
1.515	127.5	315	14.71	0.6976
1.515	127.5	345	11.53	1.402
1.515	142.5	15	9.466	0.8197
1.515	142.5	45	12.91	1.031
1.515	142.5	75	16.07	0.7684
1.515	142.5	285	16.53	0.8681
1.515	142.5	315	12.49	1.001
1.515	142.5	345	10.97	0.871
1.515	157.5	15	10.53	1.069
1.515	157.5	45	15.6	5.193
1.515	157.5	345	13.01	1.174
Measurement E8M7
Title: E89-038 CLAS experiment
Spokespersons: V. Burkert, R. Minehart
Year: 1999
Q^2 range: 0.25 - 0.35
W range: 1.22 - 1.24
Epsilon is not available
Data:
Beam energy	theta_pi	phi_pi	dsigma/dOmega	Data errors
GeV	deg	deg	mcbn/sterad	mcbn/sterad
1.515	7.5	15	13.7	4.918
1.515	7.5	45	14.29	4.495
1.515	7.5	75	18.08	2.011
1.515	7.5	105	13.89	1.196
1.515	7.5	135	16.53	1.584
1.515	7.5	165	18.29	1.616
1.515	7.5	195	15.93	1.374
1.515	7.5	225	20.63	1.958
1.515	7.5	255	13.46	1.216
1.515	7.5	285	10.56	1.373
1.515	7.5	315	14	3.562
1.515	22.5	15	13.35	1.503
1.515	22.5	75	15.6	2.399
1.515	22.5	105	18.32	1.103
1.515	22.5	135	16.81	0.8262
1.515	22.5	165	17.88	0.8334
1.515	22.5	195	17.08	0.8412
1.515	22.5	225	17.23	0.8292
1.515	22.5	255	18.81	1.166
1.515	22.5	285	15.24	2.293
1.515	22.5	345	15.27	2.693
1.515	37.5	75	12.32	1.743
1.515	37.5	105	24	2.539
1.515	37.5	135	19.42	0.8547
1.515	37.5	165	16.31	0.677
1.515	37.5	195	16.6	0.6638
1.515	37.5	225	17.61	0.7975
1.515	37.5	255	19.29	2.101
1.515	37.5	285	13.54	1.622
1.515	52.5	45	14.17	1.297
1.515	52.5	75	18.97	0.6893
1.515	52.5	105	22.42	1.406
1.515	52.5	135	19.04	1.448
1.515	52.5	165	15.31	0.6064
1.515	52.5	195	14.55	0.5717
1.515	52.5	225	21.34	1.872
1.515	52.5	255	20.41	1.131
1.515	52.5	285	19	0.6548
1.515	52.5	315	12.99	1.484
1.515	67.5	45	11.44	0.9096
1.515	67.5	75	20.58	0.6351
1.515	67.5	105	23.71	0.7916
1.515	67.5	135	21.67	1.975
1.515	67.5	165	14.27	0.6052
1.515	67.5	195	13.82	0.5922
1.515	67.5	225	21.72	1.393
1.515	67.5	255	22.46	0.7434
1.515	67.5	285	21.68	0.6812
1.515	82.5	45	12.9	1.084
1.515	82.5	75	21.2	0.702
1.515	82.5	105	23.18	0.7289
1.515	82.5	135	18.91	1.082
1.515	82.5	165	11.9	0.4466
1.515	82.5	195	12.54	0.4596
1.515	82.5	225	18.08	1.186
